title;slug;address;city;zone;province;country;type;price;priceValue;referenceCode;sourcePrice;sourceUrl;sortOrder;bedrooms;bathrooms;surface;description;imageUrl;tag;status;linkMode;vendorId;externalUrl;referralParameter;referralCode
Serendipia Lux II Villa 7;serendipia-lux-ii-villa-7;Plaza Paco Rabal;Roldán;Lo Ferro;Murcia;España;Villa;389.950 €;389950;7;389.950 EURO;https://lrcostahomes.com/es/properties-search/;0;3;2;242;Villa independiente de 3 dormitorios con piscina privada y solárium. Precio tomado del listado de precios compartido en Dropbox.;https://lrcostahomes.com/wp-content/uploads/2026/05/dominik-mCQ-ykj6tQk-unsplash-scaled.jpg;Serendipia Lux II;draft;capture;;https://lrcostahomes.com/es/properties-search/;ref;MARTINEZ
Serendipia Lux II Villa 8;serendipia-lux-ii-villa-8;Plaza Paco Rabal;Roldán;Lo Ferro;Murcia;España;Villa;399.950 €;399950;8;399.950 EURO;https://lrcostahomes.com/es/properties-search/;1;3;2;242;Villa independiente de 3 dormitorios con piscina privada y solárium. Precio tomado del listado de precios compartido en Dropbox.;https://lrcostahomes.com/wp-content/uploads/2026/05/dominik-mCQ-ykj6tQk-unsplash-scaled.jpg;Serendipia Lux II;draft;capture;;https://lrcostahomes.com/es/properties-search/;ref;MARTINEZ
Serendipia Lux II Villa 15;serendipia-lux-ii-villa-15;Plaza Paco Rabal;Roldán;Lo Ferro;Murcia;España;Villa;389.950 €;389950;15;389.950 EURO;https://lrcostahomes.com/es/properties-search/;2;3;2;242;Villa independiente de 3 dormitorios con piscina privada y solárium. Precio tomado del listado de precios compartido en Dropbox.;https://lrcostahomes.com/wp-content/uploads/2026/05/dominik-mCQ-ykj6tQk-unsplash-scaled.jpg;Serendipia Lux II;draft;capture;;https://lrcostahomes.com/es/properties-search/;ref;MARTINEZ
